Restrição de Atendimento;Escola;Código INEP;UF;Município;Localização;Localidade Diferenciada;Categoria Administrativa;Endereço;Telefone;Dependência Administrativa;Categoria Escola Privada;Conveniada Poder Público;Regulamentação pelo Conselho de Educação;Porte da Escola;Etapas e Modalidade de Ensino Oferecidas;Outras Ofertas Educacionais;Latitude;Longitude
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESC MUL JOSE SECUNDO FILHO;28006879;SE;Campo do Brito;Rural;A escola não está em área de localização diferenciada;Pública;"POVOADO GARANGAU, SN POVOADO. 49520-000 Campo do Brito - SE.";(79) 999753858;Municipal;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";Atividade Complementar;-10.8059974;-37.4773519
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESC MUL JOSEFA ANDRADE;28006887;SE;Campo do Brito;Rural;A escola não está em área de localização diferenciada;Pública;"POVOADO LIMOEIRO, SN POVOADO. 49520-000 Campo do Brito - SE.";(79) 998814900;Municipal;Não Informado;Não;Sim;Até 50 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";Atividade Complementar;-10.7546004;-37.55374521
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESC MUL MANOEL JOSE DA CRUZ;28006895;SE;Campo do Brito;Rural;A escola não está em área de localização diferenciada;Pública;"POVOADO GAMELEIRA, SN POVOADO. 49520-000 Campo do Brito - SE.";(79) 999076659;Municipal;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";Atividade Complementar;-10.76347277;-37.55286897
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESC MUL ROQUE JOSE DE SOUZA;28006909;SE;Campo do Brito;Rural;A escola não está em área de localização diferenciada;Pública;"POVOADO BRITO VELHO, SN POVOADO. 49520-000 Campo do Brito - SE.";(79) 999134183;Municipal;Não Informado;Não;Sim;Até 50 matrículas de escolarização;Educação Infantil;;-10.71975485;-37.50022684
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESC MUN PE EVERALDO LIMA VIANA;28006925;SE;Campo do Brito;Rural;A escola não está em área de localização diferenciada;Pública;"POVOADO BOA VISTA, SN POVOADO. 49520-000 Campo do Brito - SE.";(79) 999221143;Municipal;Não Informado;Não;Sim;Até 50 matrículas de escolarização;Educação Infantil;;-10.76969201;-37.47536184
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESCOLA MUL BENTO BENEDIGNO BEZERRA;28006933;SE;Campo do Brito;Rural;A escola não está em área de localização diferenciada;Pública;"BAIRRO BOM JARDIM, SN BOM JARDIM. 49520-000 Campo do Brito - SE.";(79) 999036893;Municipal;Não Informado;Não;Sim;Até 50 matrículas de escolarização;Educação Infantil;;-10.75101323;-37.50125413
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;COLEGIO ERNESTO SOBRINHO;28006941;SE;Campo do Brito;Urbana;A escola não está em área de localização diferenciada;Privada;"RUA JOSE BONIFACIO, 51 CENTRO. 49520-000 Campo do Brito - SE.";(79) 34431365;Privada;Particular;Não;Sim;Entre 201 e 500 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;-10.7499186;-37.49310499
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESCOLA ESTADUAL VICENTE MACHADO MENEZES;28006950;SE;Itabaiana;Urbana;A escola não está em área de localização diferenciada;Pública;"AVENIDA OTONIEL DOREA, 541 PREDIO. CENTRO. 49500-142 Itabaiana - SE.";(79) 99732009;Estadual;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;"Ensino Fundamental, Educação de Jovens Adultos";Atendimento Educacional Especializado;-10.68572068;-37.43269599
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;CENTRO EDUC PRES TANCREDO NEVES;28006968;SE;Itabaiana;Urbana;A escola não está em área de localização diferenciada;Privada;"RUA QUINTINO DE LACERDA, 531 CENTRO. 49500-004 Itabaiana - SE.";(79) 999310545;Privada;Particular;Não;Sim;Até 50 matrículas de escolarização;Educação de Jovens Adultos;;-10.6872721;-37.42561113
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;COLEGIO DOM BOSCO;28006992;SE;Itabaiana;Urbana;A escola não está em área de localização diferenciada;Privada;"RUA BOANERGES DE ALMEIDA PINHEIRO, 1144 ANDAR. CENTRO. 49500-154 Itabaiana - SE.";(79) 34312483;Privada;Filantrópica;Não;Sim;Entre 501 e 1000 matrículas de escolarização;"Educação Infantil, Ensino Fundamental, Ensino Médio";Atendimento Educacional Especializado;-10.683515;-37.4305883
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;COLEGIO ESTADUAL MURILO BRAGA;28007000;SE;Itabaiana;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA QUINTINO BOCAIUVA, 659 CENTRO. 49500-046 Itabaiana - SE.";(79) 999541971;Estadual;Não Informado;Não;Sim;Mais de 1000 matrículas de escolarização;"Ensino Fundamental, Ensino Médio, Educação Profissional";Atendimento Educacional Especializado;-10.69159648;-37.43106399
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;COLEGIO ARCO IRIS;28007018;SE;Itabaiana;Urbana;A escola não está em área de localização diferenciada;Privada;"RUA QUINTINO DE LACERDA, 628 CENTRO. 49500-004 Itabaiana - SE.";(79) 34312427;Privada;Particular;Não;Sim;Entre 501 e 1000 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;-10.6875603;-37.4247549
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;COLEGIO MONTEIRO LOBATO;28007042;SE;Itabaiana;Urbana;A escola não está em área de localização diferenciada;Privada;"RUA PROFESSOR LIMA JUNIOR, 508 CASA. CENTRO. 49500-148 Itabaiana - SE.";(79) 34314526;Privada;Particular;Não;Sim;Entre 201 e 500 matrículas de escolarização;"Educação Infantil, Ensino Fundamental, Ensino Médio";;-10.6846968;-37.4321103
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;COLEGIO OPCAO;28007050;SE;Itabaiana;Urbana;A escola não está em área de localização diferenciada;Privada;"RUA SANTA CRUZ, 149 CENTRO. 49500-094 Itabaiana - SE.";(79) 34313300;Privada;Particular;Não;Sim;Entre 201 e 500 matrículas de escolarização;"Educação Infantil, Ensino Fundamental, Ensino Médio";;-10.6896192;-37.4315023
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;COLEGIO SAGRADO CORACAO DE JESUS;28007069;SE;Itabaiana;Urbana;A escola não está em área de localização diferenciada;Privada;"RUA MARIA DOS ANJOS BISPO, 17 SERRANO. 49503-250 Itabaiana - SE.";(79) 34312205;Privada;Particular;Não;Sim;Entre 201 e 500 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;-10.69597573;-37.42858638
ESCOLA PARALISADA;COLEGIO SAO LUCAS;28007077;SE;Itabaiana;Urbana;Não Informado;Privada;"RUA LOURENCO ALVES DOS SANTOS, ROTARY CLUB DE ITABAIANA. 49506-294 Itabaiana - SE.";(79) 34310369;Privada;Não Informado;Não;;;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESCOLA MUNICIPAL PROFESSORA NIVALDA LIMA FIGUEIREDO;28007085;SE;Itabaiana;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA JOAO ANDRADE, ROTARY CLUB DE ITABAIANA. 49506-288 Itabaiana - SE.";(79) 34319742;Municipal;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;"Educação Infantil, Ensino Fundamental, Educação de Jovens Adultos";Atendimento Educacional Especializado;-10.6926208;-37.4361611
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESCOLA MUNICIPAL ANITA CARVALHO;28007107;SE;Itabaiana;Rural;A escola não está em área de localização diferenciada;Pública;"AREA RURAL, AREA RURAL DE ITABAIANA. 49511-899 Itabaiana - SE.";(79) 998194946;Municipal;Não Informado;Não;Sim;Até 50 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;-10.6339752;-37.4507288
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESCOLA MUNICIPAL PROFESSORA NEILDE PIMENTEL SANTOS;28007131;SE;Itabaiana;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA TENISSON MELO DE OLIVEIRA, S/N MARIANGA. 49504-096 Itabaiana - SE.";;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";Atendimento Educacional Especializado;-10.7014023;-37.4256266
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;COLEGIO ESTADUAL PADRE MENDONCA;28007140;SE;Itabaiana;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA QUINTINO BOCAIUVA, 659 SERRANO. 49503-024 Itabaiana - SE.";(79) 34319843;Estadual;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;"Ensino Fundamental, Educação de Jovens Adultos";Atividade Complementar;-10.69394512;-37.43032277
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;COLEGIO ESTADUAL DR AIRTON TELES;28007158;SE;Itabaiana;Urbana;A escola não está em área de localização diferenciada;Pública;"PRACA GENERAL JOAO PEREIRA, 652 CENTRO. 49500-298 Itabaiana - SE.";(79) 998984265;Estadual;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;"Ensino Fundamental, Educação de Jovens Adultos";"Atendimento Educacional Especializado, Atividade Complementar";-10.68469346;-37.42222862
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;CENTRO DE EXCELENCIA DR AUGUSTO CESAR LEITE;28007166;SE;Itabaiana;Urbana;A escola não está em área de localização diferenciada;Pública;"AVENIDA VEREADOR OLIMPIO GRANDE, ROTARY CLUB DE ITABAIANA. 49506-036 Itabaiana - SE.";;Estadual;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;"Ensino Fundamental, Ensino Médio, Educação de Jovens Adultos";Atividade Complementar;-10.68274129;-37.43486242
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;COLEGIO ESTADUAL PROFESSOR NESTOR CARVALHO LIMA;28007190;SE;Itabaiana;Urbana;A escola não está em área de localização diferenciada;Pública;"PRACA GENERAL JOAO PEREIRA, S/N PRACA. CENTRO. 49500-298 Itabaiana - SE.";(79) 34318420;Estadual;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;"Ensino Fundamental, Ensino Médio";;-10.68460352;-37.42136582
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESCOLA ESTADUAL GUILHERMINO BEZERRA;28007204;SE;Itabaiana;Urbana;A escola não está em área de localização diferenciada;Pública;"PRACA JOAO PESSOA, 17 CENTRO. 49500-070 Itabaiana - SE.";;Estadual;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;Ensino Fundamental;;-10.6939509935411;-37.4302640519258
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESCOLA MUNICIPAL DOM JOSE THOMAZ;28007212;SE;Itabaiana;Rural;A escola não está em área de localização diferenciada;Pública;"AREA RURAL, S/N AREA RURAL DE ITABAIANA. 49511-899 Itabaiana - SE.";(79) 999010609;Municipal;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;"Educação Infantil, Ensino Fundamental, Educação de Jovens Adultos";Atendimento Educacional Especializado;-10.7631685;-37.3864147
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESCOLA MUNICIPAL EPIPHANIA SERGIA DA SILVA;28007239;SE;Itabaiana;Rural;A escola não está em área de localização diferenciada;Pública;"AREA RURAL, AREA RURAL DE ITABAIANA. 49511-899 Itabaiana - SE.";(79) 999547001;Municipal;Não Informado;Não;Sim;Até 50 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;-10.6767686;-37.4569977
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESCOLA MUNICIPAL ETELVINA AMALIA DE SIQUEIRA;28007247;SE;Itabaiana;Rural;A escola não está em área de localização diferenciada;Pública;"AREA RURAL, AREA RURAL DE ITABAIANA. 49511-899 Itabaiana - SE.";(79) 999778602;Municipal;Não Informado;Não;Sim;Até 50 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;-10.6307573;-37.4326397
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESCOLA MUNICIPAL IZABEL ESTEVES DE FREITAS;28007263;SE;Itabaiana;Rural;A escola não está em área de localização diferenciada;Pública;"AREA RURAL, AREA RURAL DE ITABAIANA. 49511-899 Itabaiana - SE.";(79) 999191290;Municipal;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;-10.6304911;-37.4828988
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESCOLA MUNICIPAL PROFª MARIA ANDRADE CARVALHO;28007271;SE;Itabaiana;Rural;A escola não está em área de localização diferenciada;Pública;"AREA RURAL, AREA RURAL DE ITABAIANA. 49511-899 Itabaiana - SE.";(79) 998085238;Municipal;Não Informado;Não;Sim;Até 50 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;-10.6478463;-37.4405225
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESCOLA MUNICIPAL 30 DE AGOSTO;28007298;SE;Itabaiana;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA BOANERGES DE ALMEIDA PINHEIRO, 590 CENTRO. 49500-238 Itabaiana - SE.";(79) 999475653;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";Atendimento Educacional Especializado;-10.6835232214166;-37.4248084320946
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESCOLA MUNICIPAL BENTO DAS FLEXAS;28007301;SE;Itabaiana;Rural;A escola não está em área de localização diferenciada;Pública;"POVOADO VERMELHO, AREA RURAL DE ITABAIANA. 49511-899 Itabaiana - SE.";(79) 999191290;Municipal;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;-10.6544941;-37.462741
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESCOLA MUNICIPAL DR LUIZ GARCIA;28007328;SE;Itabaiana;Rural;A escola não está em área de localização diferenciada;Pública;"POVOADO SITIO NOVO, AREA RURAL DE ITABAIANA. 49511-899 Itabaiana - SE.";(79) 999211351;Municipal;Não Informado;Não;Sim;Até 50 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;-10.5914564;-37.3966595
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESCOLA MUNICIPAL ELIZEU DE OLIVEIRA;28007336;SE;Itabaiana;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA RUA SAO JOSE, 1145 MIGUEL TELES DE MENDONCA. 49505-325 Itabaiana - SE.";(79) 999208180;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;"Educação Infantil, Ensino Fundamental, Educação de Jovens Adultos";Atividade Complementar;-10.7151344;-37.4213325
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESCOLA MUNICIPAL EUGENIA LIMA;28007344;SE;Itabaiana;Rural;A escola não está em área de localização diferenciada;Pública;"PRACA JOSUEL ALVES DE SANTANA, AREA RURAL DE ITABAIANA. 49511-899 Itabaiana - SE.";(79) 998095427;Municipal;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;-10.8287756;-37.4268609
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESCOLA MUNICIPAL PROF MARIA ELIZETE SANTOS;28007360;SE;Itabaiana;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA PROJETADA, ANIZIO AMANCIO DE OLIVEIRA. 49503-492 Itabaiana - SE.";;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";Atendimento Educacional Especializado;-10.6924954;-37.4187875
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESCOLA MUNICIPAL MARIA MADALENA DE ANDRADE;28007395;SE;Itabaiana;Rural;A escola não está em área de localização diferenciada;Pública;"AREA RURAL, AREA RURAL DE ITABAIANA. 49511-899 Itabaiana - SE.";(79) 998818390;Municipal;Não Informado;Não;Sim;Até 50 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;-10.6711031;-37.3401689
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESCOLA MUNICIPAL MARIA IRENE TAVARES;28007409;SE;Itabaiana;Urbana;A escola não está em área de localização diferenciada;Pública;"AVENIDA FRANCISCO BRAGANCA, 1061 BANANEIRAS. 49501-590 Itabaiana - SE.";(79) 981390341;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;"Educação Infantil, Ensino Fundamental, Educação de Jovens Adultos";;-10.6777757;-37.4137032
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESC ROTARY DR CARLOS MELO;28007425;SE;Itabaiana;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA CORONEL SEBRAO, 641 SAO CRISTOVAO. 49500-268 Itabaiana - SE.";(79) 34319220;Estadual;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Ensino Fundamental;Atividade Complementar;-10.6860833;-37.4197655
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESCOLA MUNICIPAL ARTHUR FORTES;28007441;SE;Itabaiana;Rural;A escola não está em área de localização diferenciada;Pública;"POVOADO GANDU I, AREA RURAL DE ITABAIANA. 49511-899 Itabaiana - SE.";(79) 999583377;Municipal;Não Informado;Não;Sim;Até 50 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;-10.7418589;-37.403121
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESCOLA MUNICIPAL AUTA ALMEIDA MELO;28007450;SE;Itabaiana;Rural;A escola não está em área de localização diferenciada;Pública;"AREA RURAL, AREA RURAL DE ITABAIANA. 49511-899 Itabaiana - SE.";(79) 999894878;Municipal;Não Informado;Não;Sim;Até 50 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;-10.5876137;-37.46487
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESCOLA MUNICIPAL LUIZ FLORESTA;28007468;SE;Itabaiana;Rural;A escola não está em área de localização diferenciada;Pública;"PRACA LOURENCO JOSE DE JESUS, POVOADO BOM JARDIM. AREA RURAL DE ITABAIANA. 49511-899 Itabaiana - SE.";(79) 991108618;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;"Educação Infantil, Ensino Fundamental, Educação de Jovens Adultos";;-10.7136795;-37.3649128
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESCOLA MUNICIPAL PROFª ANAILDE SANTOS DE JESUS;28007476;SE;Itabaiana;Rural;A escola não está em área de localização diferenciada;Pública;"POVOADO CAJAIBA II, ZONA RURAL. AREA RURAL DE ITABAIANA. 49511-899 Itabaiana - SE.";(79) 998068222;Municipal;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;-10.7998286;-37.430767
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESCOLA MUNICIPAL DR AUGUSTO CESAR LEITE;28007484;SE;Itabaiana;Rural;A escola não está em área de localização diferenciada;Pública;"AREA RURAL, AREA RURAL DE ITABAIANA. 49511-899 Itabaiana - SE.";(79) 999905151;Municipal;Não Informado;Não;Sim;Até 50 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;-10.7240901;-37.3876707
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESCOLA MUNICIPAL DR FLORIVAL DE OLIVEIRA;28007492;SE;Itabaiana;Rural;A escola não está em área de localização diferenciada;Pública;"POVOADO SAO JOSE, S/N AREA RURAL DE ITABAIANA. 49511-899 Itabaiana - SE.";(79) 998112287;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;-10.7719777;-37.4109741
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESCOLA MUNICIPAL FELIX DINIZ BARRETO;28007506;SE;Itabaiana;Rural;A escola não está em área de localização diferenciada;Pública;"AREA RURAL, AREA RURAL DE ITABAIANA. 49511-899 Itabaiana - SE.";(79) 996003198;Municipal;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;-10.6094586;-37.4066286
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESCOLA MUNICIPAL MARIA CLIMERIA DE JESUS;28007514;SE;Itabaiana;Rural;A escola não está em área de localização diferenciada;Pública;"AREA RURAL, AREA RURAL DE ITABAIANA. 49511-899 Itabaiana - SE.";(79) 999990890;Municipal;Não Informado;Não;Sim;Até 50 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;-10.7597812;-37.3950761
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESCOLA MUNICIPAL JOSE FILADELFO ARAUJO;28007522;SE;Itabaiana;Rural;A escola não está em área de localização diferenciada;Pública;"RUA MARIA EMELIANA DEJESUS, AREA RURAL DE ITABAIANA. 49511-899 Itabaiana - SE.";;Municipal;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;Ensino Fundamental;Atividade Complementar;-10.7407177;-37.4321658
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESCOLA MUNICIPAL JOSE DOMINGOS PROFESSOR;28007530;SE;Itabaiana;Rural;A escola não está em área de localização diferenciada;Pública;"POVOADO CAJAIBA I, S / N ZONA RURAL. AREA RURAL DE ITABAIANA. 49511-899 Itabaiana - SE.";(79) 996266648;Municipal;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;-10.803181;-37.4179397
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESCOLA MUNICIPAL PROFª MARIA FAUSTINA BARRETO;28007549;SE;Itabaiana;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA RUA JOSE VICENTE MONTEIRO, S/N QUEIMADAS. 49511-500 Itabaiana - SE.";(79) 34320719;Municipal;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";Atendimento Educacional Especializado;-10.6630787;-37.451843
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESCOLA MUNICIPAL JOAO TAVARES DA MOTA;28007557;SE;Itabaiana;Rural;A escola não está em área de localização diferenciada;Pública;"AREA RURAL, AREA RURAL DE ITABAIANA. 49511-899 Itabaiana - SE.";(79) 999971700;Municipal;Não Informado;Não;Sim;Até 50 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;-10.6309353;-37.4127338
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESCOLA MUNICIPAL PROFESSORA MARIA DO CARMO MOURA;28007581;SE;Itabaiana;Rural;A escola não está em área de localização diferenciada;Pública;"AREA RURAL, S/N AREA RURAL DE ITABAIANA. 49511-899 Itabaiana - SE.";(79) 999056501;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;"Educação Infantil, Ensino Fundamental, Educação de Jovens Adultos";;-10.5975438;-37.4785267
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESCOLA MUNICIPAL PROFª MARIA VIEIRA DE MENDONCA;28007638;SE;Itabaiana;Rural;A escola não está em área de localização diferenciada;Pública;"AREA RURAL, POVOADO TABOCA. AREA RURAL DE ITABAIANA. 49511-899 Itabaiana - SE.";(79) 999874919;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;"Educação Infantil, Ensino Fundamental, Educação de Jovens Adultos";;-10.7552013;-37.4162359
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESCOLA MUNICIPAL PROF GABRIEL ANDRADE;28007654;SE;Itabaiana;Rural;A escola não está em área de localização diferenciada;Pública;"AREA RURAL, AREA RURAL DE ITABAIANA. 49511-899 Itabaiana - SE.";(79) 999428768;Municipal;Não Informado;Não;Sim;Até 50 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;-10.6528745;-37.5165861
ESCOLA PARALISADA;ESCOLA MUNICIPAL MANOEL FRANCISCO DA COSTA;28007662;SE;Itabaiana;Rural;Não Informado;Pública;"AREA RURAL, AREA RURAL DE ITABAIANA. 49511-899 Itabaiana - SE.";(79) 999971700;Municipal;Não Informado;Não;;;;;-10.6460111;-37.3959747
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESCOLA RENASCER;28007697;SE;Itabaiana;Urbana;A escola não está em área de localização diferenciada;Privada;"TRAVESSA MANOEL LEITE SAMPAIO, 64 CENTRO. 49500-283 Itabaiana - SE.";;Privada;Particular;Não;Sim;Entre 501 e 1000 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;-10.6872507;-37.422147
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESCOLA MUNICIPAL DR JOAO ALVES FILHO;28007719;SE;Itabaiana;Rural;A escola não está em área de localização diferenciada;Pública;"RUA JOSE FRANCISCO NASCIMENTO, S/N AREA RURAL DE ITABAIANA. 49511-899 Itabaiana - SE.";(79) 998531643;Municipal;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;"Educação Infantil, Ensino Fundamental, Educação de Jovens Adultos";;-10.6775031;-37.3680879
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESCOLA MUNICIPAL ARTUR BARBOSA DE GOIS;28007743;SE;Itabaiana;Rural;A escola não está em área de localização diferenciada;Pública;"AREA RURAL, AREA RURAL DE ITABAIANA. 49511-899 Itabaiana - SE.";(79) 996047870;Municipal;Não Informado;Não;Sim;Até 50 matrículas de escolarização;"Educação Infantil, Ensino Fundamental";;-10.6493275;-37.3799752
